"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"15354","Native","Native 1",45,"continuation","rp","continuation rp",1,0,687,687,"Ambiguous","Consistent"
"15355","Native","Native 1",29,"continuation","rp","continuation rp",1,0,1421,1421,"Ambiguous","Consistent"
"15358","Native","Native 1",34,"continuation","rp","continuation rp",2,0,881,881,"Unambiguous","Consistent"
"15361","Native","Native 1",36,"continuation","rp","continuation rp",4,0,375,375,"Unambiguous","Inconsistent"
"15363","Native","Native 1",25,"continuation","rp","continuation rp",1,0,457,457,"Ambiguous","Consistent"
"15365","Native","Native 1",42,"continuation","rp","continuation rp",2,0,566,566,"Unambiguous","Consistent"
"15369","Native","Native 1",41,"continuation","rp","continuation rp",1,0,1012,1012,"Ambiguous","Consistent"
"15371","Native","Native 1",46,"continuation","rp","continuation rp",2,0,610,610,"Unambiguous","Consistent"
"15373","Native","Native 1",47,"continuation","rp","continuation rp",3,0,1753,1753,"Ambiguous","Inconsistent"
"15375","Native","Native 1",39,"continuation","rp","continuation rp",3,0,663,663,"Ambiguous","Inconsistent"
"15376","Native","Native 1",35,"continuation","rp","continuation rp",3,0,1183,1183,"Ambiguous","Inconsistent"
"15378","Native","Native 1",48,"continuation","rp","continuation rp",4,0,928,928,"Unambiguous","Inconsistent"
"15379","Native","Native 1",27,"continuation","rp","continuation rp",3,0,478,478,"Ambiguous","Inconsistent"
"15381","Native","Native 1",31,"continuation","rp","continuation rp",3,0,291,291,"Ambiguous","Inconsistent"
"15384","Native","Native 1",40,"continuation","rp","continuation rp",4,0,206,206,"Unambiguous","Inconsistent"
"15385","Native","Native 1",38,"continuation","rp","continuation rp",2,0,272,272,"Unambiguous","Consistent"
"15386","Native","Native 1",30,"continuation","rp","continuation rp",2,0,1175,1175,"Unambiguous","Consistent"
"15388","Native","Native 1",32,"continuation","rp","continuation rp",4,0,439,439,"Unambiguous","Inconsistent"
"15392","Native","Native 1",44,"continuation","rp","continuation rp",4,0,957,957,"Unambiguous","Inconsistent"
"15393","Native","Native 1",37,"continuation","rp","continuation rp",1,0,1090,1090,"Ambiguous","Consistent"
"15394","Native","Native 1",28,"continuation","rp","continuation rp",4,0,265,265,"Unambiguous","Inconsistent"
"15397","Native","Native 1",26,"continuation","rp","continuation rp",2,0,576,576,"Unambiguous","Consistent"
"15398","Native","Native 1",33,"continuation","rp","continuation rp",1,0,532,532,"Ambiguous","Consistent"
"15400","Native","Native 1",43,"continuation","rp","continuation rp",3,0,454,454,"Ambiguous","Inconsistent"
"15401","Native","Native 2",45,"continuation","rp","continuation rp",2,1,0,NA,"Unambiguous","Consistent"
"15402","Native","Native 2",39,"continuation","rp","continuation rp",4,0,378,378,"Unambiguous","Inconsistent"
"15403","Native","Native 2",48,"continuation","rp","continuation rp",1,0,383,383,"Ambiguous","Consistent"
"15409","Native","Native 2",32,"continuation","rp","continuation rp",1,0,209,209,"Ambiguous","Consistent"
"15410","Native","Native 2",26,"continuation","rp","continuation rp",3,0,658,658,"Ambiguous","Inconsistent"
"15411","Native","Native 2",42,"continuation","rp","continuation rp",3,0,1257,1257,"Ambiguous","Inconsistent"
"15414","Native","Native 2",37,"continuation","rp","continuation rp",2,0,709,709,"Unambiguous","Consistent"
"15415","Native","Native 2",31,"continuation","rp","continuation rp",4,0,1160,1160,"Unambiguous","Inconsistent"
"15418","Native","Native 2",25,"continuation","rp","continuation rp",2,1,0,NA,"Unambiguous","Consistent"
"15419","Native","Native 2",38,"continuation","rp","continuation rp",3,0,269,269,"Ambiguous","Inconsistent"
"15420","Native","Native 2",35,"continuation","rp","continuation rp",4,0,8702,8702,"Unambiguous","Inconsistent"
"15421","Native","Native 2",41,"continuation","rp","continuation rp",2,0,149,149,"Unambiguous","Consistent"
"15423","Native","Native 2",34,"continuation","rp","continuation rp",3,0,292,292,"Ambiguous","Inconsistent"
"15424","Native","Native 2",43,"continuation","rp","continuation rp",4,0,275,275,"Unambiguous","Inconsistent"
"15426","Native","Native 2",33,"continuation","rp","continuation rp",2,0,459,459,"Unambiguous","Consistent"
"15427","Native","Native 2",40,"continuation","rp","continuation rp",1,0,632,632,"Ambiguous","Consistent"
"15430","Native","Native 2",30,"continuation","rp","continuation rp",3,0,478,478,"Ambiguous","Inconsistent"
"15431","Native","Native 2",27,"continuation","rp","continuation rp",4,0,552,552,"Unambiguous","Inconsistent"
"15434","Native","Native 2",36,"continuation","rp","continuation rp",1,0,443,443,"Ambiguous","Consistent"
"15435","Native","Native 2",28,"continuation","rp","continuation rp",1,0,689,689,"Ambiguous","Consistent"
"15439","Native","Native 2",44,"continuation","rp","continuation rp",1,0,472,472,"Ambiguous","Consistent"
"15440","Native","Native 2",29,"continuation","rp","continuation rp",2,0,1135,1135,"Unambiguous","Consistent"
"15444","Native","Native 2",47,"continuation","rp","continuation rp",4,0,1924,1924,"Unambiguous","Inconsistent"
"15446","Native","Native 2",46,"continuation","rp","continuation rp",3,0,960,960,"Ambiguous","Inconsistent"
"15449","Native","Native 3",46,"continuation","rp","continuation rp",4,0,674,674,"Unambiguous","Inconsistent"
"15450","Native","Native 3",43,"continuation","rp","continuation rp",1,0,424,424,"Ambiguous","Consistent"
"15452","Native","Native 3",39,"continuation","rp","continuation rp",1,0,541,541,"Ambiguous","Consistent"
"15453","Native","Native 3",33,"continuation","rp","continuation rp",3,0,1114,1114,"Ambiguous","Inconsistent"
"15455","Native","Native 3",31,"continuation","rp","continuation rp",1,0,415,415,"Ambiguous","Consistent"
"15456","Native","Native 3",29,"continuation","rp","continuation rp",3,0,393,393,"Ambiguous","Inconsistent"
"15457","Native","Native 3",44,"continuation","rp","continuation rp",2,0,353,353,"Unambiguous","Consistent"
"15462","Native","Native 3",27,"continuation","rp","continuation rp",1,0,628,628,"Ambiguous","Consistent"
"15465","Native","Native 3",45,"continuation","rp","continuation rp",3,0,605,605,"Ambiguous","Inconsistent"
"15466","Native","Native 3",37,"continuation","rp","continuation rp",3,0,482,482,"Ambiguous","Inconsistent"
"15467","Native","Native 3",36,"continuation","rp","continuation rp",2,1,0,NA,"Unambiguous","Consistent"
"15468","Native","Native 3",32,"continuation","rp","continuation rp",2,0,993,993,"Unambiguous","Consistent"
"15469","Native","Native 3",25,"continuation","rp","continuation rp",3,0,343,343,"Ambiguous","Inconsistent"
"15470","Native","Native 3",26,"continuation","rp","continuation rp",4,0,340,340,"Unambiguous","Inconsistent"
"15471","Native","Native 3",30,"continuation","rp","continuation rp",4,0,296,296,"Unambiguous","Inconsistent"
"15472","Native","Native 3",28,"continuation","rp","continuation rp",2,0,974,974,"Unambiguous","Consistent"
"15476","Native","Native 3",47,"continuation","rp","continuation rp",1,0,986,986,"Ambiguous","Consistent"
"15482","Native","Native 3",48,"continuation","rp","continuation rp",2,0,1034,1034,"Unambiguous","Consistent"
"15484","Native","Native 3",34,"continuation","rp","continuation rp",4,0,395,395,"Unambiguous","Inconsistent"
"15485","Native","Native 3",38,"continuation","rp","continuation rp",4,0,967,967,"Unambiguous","Inconsistent"
"15486","Native","Native 3",42,"continuation","rp","continuation rp",4,0,358,358,"Unambiguous","Inconsistent"
"15487","Native","Native 3",35,"continuation","rp","continuation rp",1,0,399,399,"Ambiguous","Consistent"
"15491","Native","Native 3",40,"continuation","rp","continuation rp",2,0,816,816,"Unambiguous","Consistent"
"15494","Native","Native 3",41,"continuation","rp","continuation rp",3,0,654,654,"Ambiguous","Inconsistent"
"15499","Native","Native 4",39,"continuation","rp","continuation rp",2,0,1493,1493,"Unambiguous","Consistent"
"15500","Native","Native 4",27,"continuation","rp","continuation rp",2,0,1027,1027,"Unambiguous","Consistent"
"15503","Native","Native 4",40,"continuation","rp","continuation rp",3,0,155,155,"Ambiguous","Inconsistent"
"15504","Native","Native 4",38,"continuation","rp","continuation rp",1,0,935,935,"Ambiguous","Consistent"
"15506","Native","Native 4",37,"continuation","rp","continuation rp",4,0,1056,1056,"Unambiguous","Inconsistent"
"15509","Native","Native 4",26,"continuation","rp","continuation rp",1,0,1300,1300,"Ambiguous","Consistent"
"15512","Native","Native 4",33,"continuation","rp","continuation rp",4,0,693,693,"Unambiguous","Inconsistent"
"15513","Native","Native 4",47,"continuation","rp","continuation rp",2,0,2128,2128,"Unambiguous","Consistent"
"15516","Native","Native 4",45,"continuation","rp","continuation rp",4,0,581,581,"Unambiguous","Inconsistent"
"15517","Native","Native 4",36,"continuation","rp","continuation rp",3,0,175,175,"Ambiguous","Inconsistent"
"15518","Native","Native 4",46,"continuation","rp","continuation rp",1,0,990,990,"Ambiguous","Consistent"
"15521","Native","Native 4",35,"continuation","rp","continuation rp",2,0,1131,1131,"Unambiguous","Consistent"
"15522","Native","Native 4",48,"continuation","rp","continuation rp",3,0,502,502,"Ambiguous","Inconsistent"
"15523","Native","Native 4",41,"continuation","rp","continuation rp",4,0,887,887,"Unambiguous","Inconsistent"
"15524","Native","Native 4",30,"continuation","rp","continuation rp",1,0,688,688,"Ambiguous","Consistent"
"15525","Native","Native 4",42,"continuation","rp","continuation rp",1,0,919,919,"Ambiguous","Consistent"
"15526","Native","Native 4",44,"continuation","rp","continuation rp",3,0,975,975,"Ambiguous","Inconsistent"
"15527","Native","Native 4",43,"continuation","rp","continuation rp",2,0,1193,1193,"Unambiguous","Consistent"
"15528","Native","Native 4",31,"continuation","rp","continuation rp",2,0,925,925,"Unambiguous","Consistent"
"15531","Native","Native 4",32,"continuation","rp","continuation rp",3,1,0,NA,"Ambiguous","Inconsistent"
"15534","Native","Native 4",25,"continuation","rp","continuation rp",4,0,703,703,"Unambiguous","Inconsistent"
"15535","Native","Native 4",34,"continuation","rp","continuation rp",1,0,1241,1241,"Ambiguous","Consistent"
"15542","Native","Native 4",28,"continuation","rp","continuation rp",3,0,803,803,"Ambiguous","Inconsistent"
"15544","Native","Native 4",29,"continuation","rp","continuation rp",4,0,720,720,"Unambiguous","Inconsistent"
