"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"9597","Native","Native 1",45,"disamb","rp","disamb rp",1,0,2462,2462,"Ambiguous","Consistent"
"9598","Native","Native 1",29,"disamb","rp","disamb rp",1,0,1303,1303,"Ambiguous","Consistent"
"9601","Native","Native 1",34,"disamb","rp","disamb rp",2,1,0,NA,"Unambiguous","Consistent"
"9604","Native","Native 1",36,"disamb","rp","disamb rp",4,0,357,357,"Unambiguous","Inconsistent"
"9606","Native","Native 1",25,"disamb","rp","disamb rp",1,0,448,448,"Ambiguous","Consistent"
"9608","Native","Native 1",42,"disamb","rp","disamb rp",2,0,181,181,"Unambiguous","Consistent"
"9612","Native","Native 1",41,"disamb","rp","disamb rp",1,0,756,756,"Ambiguous","Consistent"
"9614","Native","Native 1",46,"disamb","rp","disamb rp",2,0,388,388,"Unambiguous","Consistent"
"9616","Native","Native 1",47,"disamb","rp","disamb rp",3,0,431,431,"Ambiguous","Inconsistent"
"9618","Native","Native 1",39,"disamb","rp","disamb rp",3,0,802,802,"Ambiguous","Inconsistent"
"9619","Native","Native 1",35,"disamb","rp","disamb rp",3,0,297,297,"Ambiguous","Inconsistent"
"9621","Native","Native 1",48,"disamb","rp","disamb rp",4,0,744,744,"Unambiguous","Inconsistent"
"9622","Native","Native 1",27,"disamb","rp","disamb rp",3,0,291,291,"Ambiguous","Inconsistent"
"9624","Native","Native 1",31,"disamb","rp","disamb rp",3,0,1423,1423,"Ambiguous","Inconsistent"
"9627","Native","Native 1",40,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Inconsistent"
"9628","Native","Native 1",38,"disamb","rp","disamb rp",2,0,1021,1021,"Unambiguous","Consistent"
"9629","Native","Native 1",30,"disamb","rp","disamb rp",2,0,456,456,"Unambiguous","Consistent"
"9631","Native","Native 1",32,"disamb","rp","disamb rp",4,0,515,515,"Unambiguous","Inconsistent"
"9635","Native","Native 1",44,"disamb","rp","disamb rp",4,0,686,686,"Unambiguous","Inconsistent"
"9636","Native","Native 1",37,"disamb","rp","disamb rp",1,0,361,361,"Ambiguous","Consistent"
"9637","Native","Native 1",28,"disamb","rp","disamb rp",4,0,857,857,"Unambiguous","Inconsistent"
"9640","Native","Native 1",26,"disamb","rp","disamb rp",2,0,614,614,"Unambiguous","Consistent"
"9641","Native","Native 1",33,"disamb","rp","disamb rp",1,0,480,480,"Ambiguous","Consistent"
"9643","Native","Native 1",43,"disamb","rp","disamb rp",3,0,1186,1186,"Ambiguous","Inconsistent"
"9644","Native","Native 2",45,"disamb","rp","disamb rp",2,0,4214,4214,"Unambiguous","Consistent"
"9645","Native","Native 2",39,"disamb","rp","disamb rp",4,0,1185,1185,"Unambiguous","Inconsistent"
"9646","Native","Native 2",48,"disamb","rp","disamb rp",1,0,1884,1884,"Ambiguous","Consistent"
"9652","Native","Native 2",32,"disamb","rp","disamb rp",1,0,512,512,"Ambiguous","Consistent"
"9653","Native","Native 2",26,"disamb","rp","disamb rp",3,0,5048,5048,"Ambiguous","Inconsistent"
"9654","Native","Native 2",42,"disamb","rp","disamb rp",3,0,1233,1233,"Ambiguous","Inconsistent"
"9657","Native","Native 2",37,"disamb","rp","disamb rp",2,0,142,142,"Unambiguous","Consistent"
"9658","Native","Native 2",31,"disamb","rp","disamb rp",4,0,522,522,"Unambiguous","Inconsistent"
"9661","Native","Native 2",25,"disamb","rp","disamb rp",2,0,1407,1407,"Unambiguous","Consistent"
"9662","Native","Native 2",38,"disamb","rp","disamb rp",3,0,1306,1306,"Ambiguous","Inconsistent"
"9663","Native","Native 2",35,"disamb","rp","disamb rp",4,0,969,969,"Unambiguous","Inconsistent"
"9664","Native","Native 2",41,"disamb","rp","disamb rp",2,0,296,296,"Unambiguous","Consistent"
"9666","Native","Native 2",34,"disamb","rp","disamb rp",3,0,240,240,"Ambiguous","Inconsistent"
"9667","Native","Native 2",43,"disamb","rp","disamb rp",4,0,2409,2409,"Unambiguous","Inconsistent"
"9669","Native","Native 2",33,"disamb","rp","disamb rp",2,0,2808,2808,"Unambiguous","Consistent"
"9670","Native","Native 2",40,"disamb","rp","disamb rp",1,0,250,250,"Ambiguous","Consistent"
"9673","Native","Native 2",30,"disamb","rp","disamb rp",3,0,1185,1185,"Ambiguous","Inconsistent"
