"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"7678","Native","Native 1",45,"spillover","fp","spillover fp",1,0,524,524,"Ambiguous","Consistent"
"7679","Native","Native 1",29,"spillover","fp","spillover fp",1,0,335,335,"Ambiguous","Consistent"
"7682","Native","Native 1",34,"spillover","fp","spillover fp",2,0,547,547,"Unambiguous","Consistent"
"7685","Native","Native 1",36,"spillover","fp","spillover fp",4,0,383,383,"Unambiguous","Inconsistent"
"7687","Native","Native 1",25,"spillover","fp","spillover fp",1,0,288,288,"Ambiguous","Consistent"
"7689","Native","Native 1",42,"spillover","fp","spillover fp",2,0,328,328,"Unambiguous","Consistent"
"7693","Native","Native 1",41,"spillover","fp","spillover fp",1,0,257,257,"Ambiguous","Consistent"
"7695","Native","Native 1",46,"spillover","fp","spillover fp",2,0,312,312,"Unambiguous","Consistent"
"7697","Native","Native 1",47,"spillover","fp","spillover fp",3,1,0,NA,"Ambiguous","Inconsistent"
"7699","Native","Native 1",39,"spillover","fp","spillover fp",3,0,787,787,"Ambiguous","Inconsistent"
"7700","Native","Native 1",35,"spillover","fp","spillover fp",3,0,715,715,"Ambiguous","Inconsistent"
"7702","Native","Native 1",48,"spillover","fp","spillover fp",4,0,459,459,"Unambiguous","Inconsistent"
"7703","Native","Native 1",27,"spillover","fp","spillover fp",3,0,312,312,"Ambiguous","Inconsistent"
"7705","Native","Native 1",31,"spillover","fp","spillover fp",3,0,310,310,"Ambiguous","Inconsistent"
"7708","Native","Native 1",40,"spillover","fp","spillover fp",4,0,1448,1448,"Unambiguous","Inconsistent"
"7709","Native","Native 1",38,"spillover","fp","spillover fp",2,0,560,560,"Unambiguous","Consistent"
"7710","Native","Native 1",30,"spillover","fp","spillover fp",2,0,772,772,"Unambiguous","Consistent"
"7712","Native","Native 1",32,"spillover","fp","spillover fp",4,0,606,606,"Unambiguous","Inconsistent"
"7716","Native","Native 1",44,"spillover","fp","spillover fp",4,0,261,261,"Unambiguous","Inconsistent"
"7717","Native","Native 1",37,"spillover","fp","spillover fp",1,0,177,177,"Ambiguous","Consistent"
"7718","Native","Native 1",28,"spillover","fp","spillover fp",4,0,484,484,"Unambiguous","Inconsistent"
"7721","Native","Native 1",26,"spillover","fp","spillover fp",2,0,867,867,"Unambiguous","Consistent"
"7722","Native","Native 1",33,"spillover","fp","spillover fp",1,0,1399,1399,"Ambiguous","Consistent"
"7724","Native","Native 1",43,"spillover","fp","spillover fp",3,1,0,NA,"Ambiguous","Inconsistent"
"7725","Native","Native 2",45,"spillover","fp","spillover fp",2,0,131,131,"Unambiguous","Consistent"
"7726","Native","Native 2",39,"spillover","fp","spillover fp",4,0,170,170,"Unambiguous","Inconsistent"
"7727","Native","Native 2",48,"spillover","fp","spillover fp",1,0,209,209,"Ambiguous","Consistent"
"7733","Native","Native 2",32,"spillover","fp","spillover fp",1,0,197,197,"Ambiguous","Consistent"
"7734","Native","Native 2",26,"spillover","fp","spillover fp",3,0,449,449,"Ambiguous","Inconsistent"
"7735","Native","Native 2",42,"spillover","fp","spillover fp",3,1,0,NA,"Ambiguous","Inconsistent"
"7738","Native","Native 2",37,"spillover","fp","spillover fp",2,0,168,168,"Unambiguous","Consistent"
"7739","Native","Native 2",31,"spillover","fp","spillover fp",4,1,0,NA,"Unambiguous","Inconsistent"
"7742","Native","Native 2",25,"spillover","fp","spillover fp",2,1,0,NA,"Unambiguous","Consistent"
"7743","Native","Native 2",38,"spillover","fp","spillover fp",3,0,195,195,"Ambiguous","Inconsistent"
"7744","Native","Native 2",35,"spillover","fp","spillover fp",4,0,184,184,"Unambiguous","Inconsistent"
"7745","Native","Native 2",41,"spillover","fp","spillover fp",2,0,198,198,"Unambiguous","Consistent"
"7747","Native","Native 2",34,"spillover","fp","spillover fp",3,0,133,133,"Ambiguous","Inconsistent"
"7748","Native","Native 2",43,"spillover","fp","spillover fp",4,1,0,NA,"Unambiguous","Inconsistent"
"7750","Native","Native 2",33,"spillover","fp","spillover fp",2,0,248,248,"Unambiguous","Consistent"
"7751","Native","Native 2",40,"spillover","fp","spillover fp",1,0,337,337,"Ambiguous","Consistent"
"7754","Native","Native 2",30,"spillover","fp","spillover fp",3,0,200,200,"Ambiguous","Inconsistent"
"7755","Native","Native 2",27,"spillover","fp","spillover fp",4,0,597,597,"Unambiguous","Inconsistent"
"7758","Native","Native 2",36,"spillover","fp","spillover fp",1,0,174,174,"Ambiguous","Consistent"
"7759","Native","Native 2",28,"spillover","fp","spillover fp",1,0,182,182,"Ambiguous","Consistent"
"7763","Native","Native 2",44,"spillover","fp","spillover fp",1,0,178,178,"Ambiguous","Consistent"
"7764","Native","Native 2",29,"spillover","fp","spillover fp",2,0,231,231,"Unambiguous","Consistent"
"7768","Native","Native 2",47,"spillover","fp","spillover fp",4,1,0,NA,"Unambiguous","Inconsistent"
"7770","Native","Native 2",46,"spillover","fp","spillover fp",3,0,529,529,"Ambiguous","Inconsistent"
"7773","Native","Native 3",46,"spillover","fp","spillover fp",4,0,449,449,"Unambiguous","Inconsistent"
"7774","Native","Native 3",43,"spillover","fp","spillover fp",1,0,248,248,"Ambiguous","Consistent"
"7776","Native","Native 3",39,"spillover","fp","spillover fp",1,0,866,866,"Ambiguous","Consistent"
"7777","Native","Native 3",33,"spillover","fp","spillover fp",3,0,740,740,"Ambiguous","Inconsistent"
"7779","Native","Native 3",31,"spillover","fp","spillover fp",1,0,211,211,"Ambiguous","Consistent"
"7780","Native","Native 3",29,"spillover","fp","spillover fp",3,0,459,459,"Ambiguous","Inconsistent"
"7781","Native","Native 3",44,"spillover","fp","spillover fp",2,0,161,161,"Unambiguous","Consistent"
"7786","Native","Native 3",27,"spillover","fp","spillover fp",1,0,416,416,"Ambiguous","Consistent"
"7789","Native","Native 3",45,"spillover","fp","spillover fp",3,0,756,756,"Ambiguous","Inconsistent"
"7790","Native","Native 3",37,"spillover","fp","spillover fp",3,0,325,325,"Ambiguous","Inconsistent"
"7791","Native","Native 3",36,"spillover","fp","spillover fp",2,1,0,NA,"Unambiguous","Consistent"
"7792","Native","Native 3",32,"spillover","fp","spillover fp",2,0,640,640,"Unambiguous","Consistent"
"7793","Native","Native 3",25,"spillover","fp","spillover fp",3,0,314,314,"Ambiguous","Inconsistent"
"7794","Native","Native 3",26,"spillover","fp","spillover fp",4,0,725,725,"Unambiguous","Inconsistent"
"7795","Native","Native 3",30,"spillover","fp","spillover fp",4,0,305,305,"Unambiguous","Inconsistent"
"7796","Native","Native 3",28,"spillover","fp","spillover fp",2,0,741,741,"Unambiguous","Consistent"
"7800","Native","Native 3",47,"spillover","fp","spillover fp",1,0,539,539,"Ambiguous","Consistent"
"7806","Native","Native 3",48,"spillover","fp","spillover fp",2,0,897,897,"Unambiguous","Consistent"
"7808","Native","Native 3",34,"spillover","fp","spillover fp",4,0,869,869,"Unambiguous","Inconsistent"
"7809","Native","Native 3",38,"spillover","fp","spillover fp",4,0,594,594,"Unambiguous","Inconsistent"
"7810","Native","Native 3",42,"spillover","fp","spillover fp",4,0,354,354,"Unambiguous","Inconsistent"
"7811","Native","Native 3",35,"spillover","fp","spillover fp",1,0,331,331,"Ambiguous","Consistent"
"7815","Native","Native 3",40,"spillover","fp","spillover fp",2,0,427,427,"Unambiguous","Consistent"
"7818","Native","Native 3",41,"spillover","fp","spillover fp",3,0,430,430,"Ambiguous","Inconsistent"
"7823","Native","Native 4",39,"spillover","fp","spillover fp",2,0,860,860,"Unambiguous","Consistent"
"7824","Native","Native 4",27,"spillover","fp","spillover fp",2,0,482,482,"Unambiguous","Consistent"
"7827","Native","Native 4",40,"spillover","fp","spillover fp",3,0,603,603,"Ambiguous","Inconsistent"
"7828","Native","Native 4",38,"spillover","fp","spillover fp",1,0,930,930,"Ambiguous","Consistent"
"7830","Native","Native 4",37,"spillover","fp","spillover fp",4,0,388,388,"Unambiguous","Inconsistent"
"7833","Native","Native 4",26,"spillover","fp","spillover fp",1,0,965,965,"Ambiguous","Consistent"
"7836","Native","Native 4",33,"spillover","fp","spillover fp",4,0,840,840,"Unambiguous","Inconsistent"
"7837","Native","Native 4",47,"spillover","fp","spillover fp",2,0,602,602,"Unambiguous","Consistent"
"7840","Native","Native 4",45,"spillover","fp","spillover fp",4,0,221,221,"Unambiguous","Inconsistent"
"7841","Native","Native 4",36,"spillover","fp","spillover fp",3,0,1145,1145,"Ambiguous","Inconsistent"
"7842","Native","Native 4",46,"spillover","fp","spillover fp",1,0,580,580,"Ambiguous","Consistent"
