"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"17273","Native","Native 1",45,"spillover","rp","spillover rp",1,0,524,524,"Ambiguous","Consistent"
"17274","Native","Native 1",29,"spillover","rp","spillover rp",1,0,335,335,"Ambiguous","Consistent"
"17277","Native","Native 1",34,"spillover","rp","spillover rp",2,0,547,547,"Unambiguous","Consistent"
"17280","Native","Native 1",36,"spillover","rp","spillover rp",4,0,383,383,"Unambiguous","Inconsistent"
"17282","Native","Native 1",25,"spillover","rp","spillover rp",1,0,892,892,"Ambiguous","Consistent"
"17284","Native","Native 1",42,"spillover","rp","spillover rp",2,0,328,328,"Unambiguous","Consistent"
"17288","Native","Native 1",41,"spillover","rp","spillover rp",1,0,257,257,"Ambiguous","Consistent"
"17290","Native","Native 1",46,"spillover","rp","spillover rp",2,0,312,312,"Unambiguous","Consistent"
"17292","Native","Native 1",47,"spillover","rp","spillover rp",3,1,0,NA,"Ambiguous","Inconsistent"
"17294","Native","Native 1",39,"spillover","rp","spillover rp",3,0,787,787,"Ambiguous","Inconsistent"
"17295","Native","Native 1",35,"spillover","rp","spillover rp",3,0,715,715,"Ambiguous","Inconsistent"
"17297","Native","Native 1",48,"spillover","rp","spillover rp",4,0,459,459,"Unambiguous","Inconsistent"
"17298","Native","Native 1",27,"spillover","rp","spillover rp",3,0,312,312,"Ambiguous","Inconsistent"
"17300","Native","Native 1",31,"spillover","rp","spillover rp",3,0,310,310,"Ambiguous","Inconsistent"
"17303","Native","Native 1",40,"spillover","rp","spillover rp",4,0,1448,1448,"Unambiguous","Inconsistent"
"17304","Native","Native 1",38,"spillover","rp","spillover rp",2,0,560,560,"Unambiguous","Consistent"
"17305","Native","Native 1",30,"spillover","rp","spillover rp",2,0,772,772,"Unambiguous","Consistent"
"17307","Native","Native 1",32,"spillover","rp","spillover rp",4,0,606,606,"Unambiguous","Inconsistent"
"17311","Native","Native 1",44,"spillover","rp","spillover rp",4,0,261,261,"Unambiguous","Inconsistent"
"17312","Native","Native 1",37,"spillover","rp","spillover rp",1,0,177,177,"Ambiguous","Consistent"
"17313","Native","Native 1",28,"spillover","rp","spillover rp",4,0,484,484,"Unambiguous","Inconsistent"
"17316","Native","Native 1",26,"spillover","rp","spillover rp",2,0,867,867,"Unambiguous","Consistent"
"17317","Native","Native 1",33,"spillover","rp","spillover rp",1,0,1399,1399,"Ambiguous","Consistent"
"17319","Native","Native 1",43,"spillover","rp","spillover rp",3,1,0,NA,"Ambiguous","Inconsistent"
