"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"26868","Native","Native 1",45,"spillover","tt","spillover tt",1,0,763,763,"Ambiguous","Consistent"
"26869","Native","Native 1",29,"spillover","tt","spillover tt",1,0,604,604,"Ambiguous","Consistent"
"26872","Native","Native 1",34,"spillover","tt","spillover tt",2,0,740,740,"Unambiguous","Consistent"
"26875","Native","Native 1",36,"spillover","tt","spillover tt",4,0,640,640,"Unambiguous","Inconsistent"
"26877","Native","Native 1",25,"spillover","tt","spillover tt",1,0,613,613,"Ambiguous","Consistent"
"26879","Native","Native 1",42,"spillover","tt","spillover tt",2,0,328,328,"Unambiguous","Consistent"
"26883","Native","Native 1",41,"spillover","tt","spillover tt",1,0,257,257,"Ambiguous","Consistent"
"26885","Native","Native 1",46,"spillover","tt","spillover tt",2,0,536,536,"Unambiguous","Consistent"
"26887","Native","Native 1",47,"spillover","tt","spillover tt",3,0,423,423,"Ambiguous","Inconsistent"
"26889","Native","Native 1",39,"spillover","tt","spillover tt",3,0,787,787,"Ambiguous","Inconsistent"
"26890","Native","Native 1",35,"spillover","tt","spillover tt",3,0,1008,1008,"Ambiguous","Inconsistent"
"26892","Native","Native 1",48,"spillover","tt","spillover tt",4,0,459,459,"Unambiguous","Inconsistent"
"26893","Native","Native 1",27,"spillover","tt","spillover tt",3,0,312,312,"Ambiguous","Inconsistent"
"26895","Native","Native 1",31,"spillover","tt","spillover tt",3,0,310,310,"Ambiguous","Inconsistent"
"26898","Native","Native 1",40,"spillover","tt","spillover tt",4,0,1448,1448,"Unambiguous","Inconsistent"
"26899","Native","Native 1",38,"spillover","tt","spillover tt",2,0,687,687,"Unambiguous","Consistent"
"26900","Native","Native 1",30,"spillover","tt","spillover tt",2,0,970,970,"Unambiguous","Consistent"
"26902","Native","Native 1",32,"spillover","tt","spillover tt",4,0,606,606,"Unambiguous","Inconsistent"
"26906","Native","Native 1",44,"spillover","tt","spillover tt",4,0,381,381,"Unambiguous","Inconsistent"
"26907","Native","Native 1",37,"spillover","tt","spillover tt",1,0,338,338,"Ambiguous","Consistent"
"26908","Native","Native 1",28,"spillover","tt","spillover tt",4,0,484,484,"Unambiguous","Inconsistent"
"26911","Native","Native 1",26,"spillover","tt","spillover tt",2,0,867,867,"Unambiguous","Consistent"
"26912","Native","Native 1",33,"spillover","tt","spillover tt",1,0,1399,1399,"Ambiguous","Consistent"
"26914","Native","Native 1",43,"spillover","tt","spillover tt",3,0,187,187,"Ambiguous","Inconsistent"
"26915","Native","Native 2",45,"spillover","tt","spillover tt",2,0,566,566,"Unambiguous","Consistent"
"26916","Native","Native 2",39,"spillover","tt","spillover tt",4,0,439,439,"Unambiguous","Inconsistent"
"26917","Native","Native 2",48,"spillover","tt","spillover tt",1,0,1492,1492,"Ambiguous","Consistent"
"26923","Native","Native 2",32,"spillover","tt","spillover tt",1,0,797,797,"Ambiguous","Consistent"
"26924","Native","Native 2",26,"spillover","tt","spillover tt",3,0,877,877,"Ambiguous","Inconsistent"
"26925","Native","Native 2",42,"spillover","tt","spillover tt",3,0,356,356,"Ambiguous","Inconsistent"
"26928","Native","Native 2",37,"spillover","tt","spillover tt",2,0,451,451,"Unambiguous","Consistent"
"26929","Native","Native 2",31,"spillover","tt","spillover tt",4,0,433,433,"Unambiguous","Inconsistent"
"26932","Native","Native 2",25,"spillover","tt","spillover tt",2,0,156,156,"Unambiguous","Consistent"
"26933","Native","Native 2",38,"spillover","tt","spillover tt",3,0,379,379,"Ambiguous","Inconsistent"
"26934","Native","Native 2",35,"spillover","tt","spillover tt",4,0,1168,1168,"Unambiguous","Inconsistent"
"26935","Native","Native 2",41,"spillover","tt","spillover tt",2,0,611,611,"Unambiguous","Consistent"
"26937","Native","Native 2",34,"spillover","tt","spillover tt",3,0,828,828,"Ambiguous","Inconsistent"
"26938","Native","Native 2",43,"spillover","tt","spillover tt",4,0,1154,1154,"Unambiguous","Inconsistent"
"26940","Native","Native 2",33,"spillover","tt","spillover tt",2,0,248,248,"Unambiguous","Consistent"
"26941","Native","Native 2",40,"spillover","tt","spillover tt",1,0,1145,1145,"Ambiguous","Consistent"
"26944","Native","Native 2",30,"spillover","tt","spillover tt",3,0,200,200,"Ambiguous","Inconsistent"
"26945","Native","Native 2",27,"spillover","tt","spillover tt",4,0,597,597,"Unambiguous","Inconsistent"
"26948","Native","Native 2",36,"spillover","tt","spillover tt",1,0,445,445,"Ambiguous","Consistent"
"26949","Native","Native 2",28,"spillover","tt","spillover tt",1,0,387,387,"Ambiguous","Consistent"
"26953","Native","Native 2",44,"spillover","tt","spillover tt",1,0,705,705,"Ambiguous","Consistent"
"26954","Native","Native 2",29,"spillover","tt","spillover tt",2,0,625,625,"Unambiguous","Consistent"
