"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"15353","Native","Native 1",6,"continuation","rp","continuation rp",2,0,270,270,"Unambiguous","Consistent"
"15356","Native","Native 1",1,"continuation","rp","continuation rp",1,0,132,132,"Ambiguous","Consistent"
"15357","Native","Native 1",16,"continuation","rp","continuation rp",4,0,225,225,"Unambiguous","Inconsistent"
"15359","Native","Native 1",13,"continuation","rp","continuation rp",1,0,311,311,"Ambiguous","Consistent"
"15360","Native","Native 1",3,"continuation","rp","continuation rp",3,1,0,NA,"Ambiguous","Inconsistent"
"15362","Native","Native 1",10,"continuation","rp","continuation rp",2,0,989,989,"Unambiguous","Consistent"
"15364","Native","Native 1",7,"continuation","rp","continuation rp",3,0,373,373,"Ambiguous","Inconsistent"
"15366","Native","Native 1",20,"continuation","rp","continuation rp",4,0,375,375,"Unambiguous","Inconsistent"
"15367","Native","Native 1",4,"continuation","rp","continuation rp",4,0,405,405,"Unambiguous","Inconsistent"
"15368","Native","Native 1",8,"continuation","rp","continuation rp",4,0,197,197,"Unambiguous","Inconsistent"
"15370","Native","Native 1",15,"continuation","rp","continuation rp",3,0,585,585,"Ambiguous","Inconsistent"
"15372","Native","Native 1",22,"continuation","rp","continuation rp",2,0,397,397,"Unambiguous","Consistent"
"15374","Native","Native 1",19,"continuation","rp","continuation rp",3,0,654,654,"Ambiguous","Inconsistent"
"15377","Native","Native 1",12,"continuation","rp","continuation rp",4,0,564,564,"Unambiguous","Inconsistent"
"15380","Native","Native 1",23,"continuation","rp","continuation rp",3,0,548,548,"Ambiguous","Inconsistent"
"15382","Native","Native 1",17,"continuation","rp","continuation rp",1,0,265,265,"Ambiguous","Consistent"
"15383","Native","Native 1",21,"continuation","rp","continuation rp",1,0,198,198,"Ambiguous","Consistent"
"15387","Native","Native 1",24,"continuation","rp","continuation rp",4,0,939,939,"Unambiguous","Inconsistent"
"15389","Native","Native 1",14,"continuation","rp","continuation rp",2,0,460,460,"Unambiguous","Consistent"
"15390","Native","Native 1",11,"continuation","rp","continuation rp",3,0,321,321,"Ambiguous","Inconsistent"
"15391","Native","Native 1",9,"continuation","rp","continuation rp",1,0,240,240,"Ambiguous","Consistent"
"15395","Native","Native 1",5,"continuation","rp","continuation rp",1,0,174,174,"Ambiguous","Consistent"
"15396","Native","Native 1",2,"continuation","rp","continuation rp",2,0,410,410,"Unambiguous","Consistent"
"15399","Native","Native 1",18,"continuation","rp","continuation rp",2,0,312,312,"Unambiguous","Consistent"
"15404","Native","Native 2",20,"continuation","rp","continuation rp",1,0,201,201,"Ambiguous","Consistent"
"15405","Native","Native 2",5,"continuation","rp","continuation rp",2,0,169,169,"Unambiguous","Consistent"
"15406","Native","Native 2",12,"continuation","rp","continuation rp",1,0,188,188,"Ambiguous","Consistent"
"15407","Native","Native 2",2,"continuation","rp","continuation rp",3,1,0,NA,"Ambiguous","Inconsistent"
"15408","Native","Native 2",9,"continuation","rp","continuation rp",2,0,212,212,"Unambiguous","Consistent"
"15412","Native","Native 2",16,"continuation","rp","continuation rp",1,0,177,177,"Ambiguous","Consistent"
"15413","Native","Native 2",1,"continuation","rp","continuation rp",2,0,182,182,"Unambiguous","Consistent"
"15416","Native","Native 2",13,"continuation","rp","continuation rp",2,0,166,166,"Unambiguous","Consistent"
"15417","Native","Native 2",10,"continuation","rp","continuation rp",3,0,236,236,"Ambiguous","Inconsistent"
"15422","Native","Native 2",7,"continuation","rp","continuation rp",4,0,227,227,"Unambiguous","Inconsistent"
"15425","Native","Native 2",24,"continuation","rp","continuation rp",1,0,244,244,"Ambiguous","Consistent"
"15428","Native","Native 2",23,"continuation","rp","continuation rp",4,0,987,987,"Unambiguous","Inconsistent"
"15429","Native","Native 2",4,"continuation","rp","continuation rp",1,0,154,154,"Ambiguous","Consistent"
"15432","Native","Native 2",19,"continuation","rp","continuation rp",4,0,180,180,"Unambiguous","Inconsistent"
"15433","Native","Native 2",22,"continuation","rp","continuation rp",3,0,424,424,"Ambiguous","Inconsistent"
"15436","Native","Native 2",8,"continuation","rp","continuation rp",1,0,217,217,"Ambiguous","Consistent"
"15437","Native","Native 2",3,"continuation","rp","continuation rp",4,0,369,369,"Unambiguous","Inconsistent"
"15438","Native","Native 2",17,"continuation","rp","continuation rp",2,0,168,168,"Unambiguous","Consistent"
"15441","Native","Native 2",21,"continuation","rp","continuation rp",2,0,486,486,"Unambiguous","Consistent"
"15442","Native","Native 2",14,"continuation","rp","continuation rp",3,0,320,320,"Ambiguous","Inconsistent"
"15443","Native","Native 2",18,"continuation","rp","continuation rp",3,0,626,626,"Ambiguous","Inconsistent"
"15445","Native","Native 2",6,"continuation","rp","continuation rp",3,0,761,761,"Ambiguous","Inconsistent"
"15447","Native","Native 2",11,"continuation","rp","continuation rp",4,0,148,148,"Unambiguous","Inconsistent"
"15448","Native","Native 2",15,"continuation","rp","continuation rp",4,1,0,NA,"Unambiguous","Inconsistent"
"15451","Native","Native 3",18,"continuation","rp","continuation rp",4,0,422,422,"Unambiguous","Inconsistent"
"15454","Native","Native 3",4,"continuation","rp","continuation rp",2,0,192,192,"Unambiguous","Consistent"
"15458","Native","Native 3",15,"continuation","rp","continuation rp",1,0,917,917,"Ambiguous","Consistent"
"15459","Native","Native 3",10,"continuation","rp","continuation rp",4,0,360,360,"Unambiguous","Inconsistent"
"15460","Native","Native 3",23,"continuation","rp","continuation rp",1,0,182,182,"Ambiguous","Consistent"
