"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1","Native","Native 1",6,"disamb","fp","disamb fp",2,0,407,407,"Unambiguous","Consistent"
"4","Native","Native 1",1,"disamb","fp","disamb fp",1,0,159,159,"Ambiguous","Consistent"
"5","Native","Native 1",16,"disamb","fp","disamb fp",4,0,415,415,"Unambiguous","Inconsistent"
"7","Native","Native 1",13,"disamb","fp","disamb fp",1,0,547,547,"Ambiguous","Consistent"
"8","Native","Native 1",3,"disamb","fp","disamb fp",3,0,186,186,"Ambiguous","Inconsistent"
"10","Native","Native 1",10,"disamb","fp","disamb fp",2,0,211,211,"Unambiguous","Consistent"
"12","Native","Native 1",7,"disamb","fp","disamb fp",3,0,362,362,"Ambiguous","Inconsistent"
"14","Native","Native 1",20,"disamb","fp","disamb fp",4,1,0,NA,"Unambiguous","Inconsistent"
"15","Native","Native 1",4,"disamb","fp","disamb fp",4,0,158,158,"Unambiguous","Inconsistent"
"16","Native","Native 1",8,"disamb","fp","disamb fp",4,0,384,384,"Unambiguous","Inconsistent"
"18","Native","Native 1",15,"disamb","fp","disamb fp",3,0,277,277,"Ambiguous","Inconsistent"
"20","Native","Native 1",22,"disamb","fp","disamb fp",2,0,222,222,"Unambiguous","Consistent"
"22","Native","Native 1",19,"disamb","fp","disamb fp",3,0,421,421,"Ambiguous","Inconsistent"
"25","Native","Native 1",12,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Inconsistent"
"28","Native","Native 1",23,"disamb","fp","disamb fp",3,1,0,NA,"Ambiguous","Inconsistent"
"30","Native","Native 1",17,"disamb","fp","disamb fp",1,0,360,360,"Ambiguous","Consistent"
"31","Native","Native 1",21,"disamb","fp","disamb fp",1,0,227,227,"Ambiguous","Consistent"
"35","Native","Native 1",24,"disamb","fp","disamb fp",4,0,398,398,"Unambiguous","Inconsistent"
"37","Native","Native 1",14,"disamb","fp","disamb fp",2,0,536,536,"Unambiguous","Consistent"
"38","Native","Native 1",11,"disamb","fp","disamb fp",3,0,305,305,"Ambiguous","Inconsistent"
"39","Native","Native 1",9,"disamb","fp","disamb fp",1,0,444,444,"Ambiguous","Consistent"
