"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"26867","Native","Native 1",6,"spillover","tt","spillover tt",2,0,462,462,"Unambiguous","Consistent"
"26870","Native","Native 1",1,"spillover","tt","spillover tt",1,0,284,284,"Ambiguous","Consistent"
"26871","Native","Native 1",16,"spillover","tt","spillover tt",4,0,389,389,"Unambiguous","Inconsistent"
"26873","Native","Native 1",13,"spillover","tt","spillover tt",1,0,656,656,"Ambiguous","Consistent"
"26874","Native","Native 1",3,"spillover","tt","spillover tt",3,0,1439,1439,"Ambiguous","Inconsistent"
"26876","Native","Native 1",10,"spillover","tt","spillover tt",2,0,269,269,"Unambiguous","Consistent"
"26878","Native","Native 1",7,"spillover","tt","spillover tt",3,0,710,710,"Ambiguous","Inconsistent"
"26880","Native","Native 1",20,"spillover","tt","spillover tt",4,0,833,833,"Unambiguous","Inconsistent"
"26881","Native","Native 1",4,"spillover","tt","spillover tt",4,0,553,553,"Unambiguous","Inconsistent"
"26882","Native","Native 1",8,"spillover","tt","spillover tt",4,0,1164,1164,"Unambiguous","Inconsistent"
"26884","Native","Native 1",15,"spillover","tt","spillover tt",3,0,1106,1106,"Ambiguous","Inconsistent"
"26886","Native","Native 1",22,"spillover","tt","spillover tt",2,0,388,388,"Unambiguous","Consistent"
"26888","Native","Native 1",19,"spillover","tt","spillover tt",3,0,558,558,"Ambiguous","Inconsistent"
"26891","Native","Native 1",12,"spillover","tt","spillover tt",4,0,396,396,"Unambiguous","Inconsistent"
"26894","Native","Native 1",23,"spillover","tt","spillover tt",3,0,706,706,"Ambiguous","Inconsistent"
"26896","Native","Native 1",17,"spillover","tt","spillover tt",1,0,367,367,"Ambiguous","Consistent"
"26897","Native","Native 1",21,"spillover","tt","spillover tt",1,0,252,252,"Ambiguous","Consistent"
"26901","Native","Native 1",24,"spillover","tt","spillover tt",4,0,794,794,"Unambiguous","Inconsistent"
"26903","Native","Native 1",14,"spillover","tt","spillover tt",2,0,377,377,"Unambiguous","Consistent"
"26904","Native","Native 1",11,"spillover","tt","spillover tt",3,0,1083,1083,"Ambiguous","Inconsistent"
"26905","Native","Native 1",9,"spillover","tt","spillover tt",1,0,1256,1256,"Ambiguous","Consistent"
"26909","Native","Native 1",5,"spillover","tt","spillover tt",1,0,1041,1041,"Ambiguous","Consistent"
"26910","Native","Native 1",2,"spillover","tt","spillover tt",2,0,380,380,"Unambiguous","Consistent"
"26913","Native","Native 1",18,"spillover","tt","spillover tt",2,0,610,610,"Unambiguous","Consistent"
"26918","Native","Native 2",20,"spillover","tt","spillover tt",1,0,1316,1316,"Ambiguous","Consistent"
"26919","Native","Native 2",5,"spillover","tt","spillover tt",2,0,733,733,"Unambiguous","Consistent"
"26920","Native","Native 2",12,"spillover","tt","spillover tt",1,0,179,179,"Ambiguous","Consistent"
"26921","Native","Native 2",2,"spillover","tt","spillover tt",3,0,1456,1456,"Ambiguous","Inconsistent"
"26922","Native","Native 2",9,"spillover","tt","spillover tt",2,0,987,987,"Unambiguous","Consistent"
"26926","Native","Native 2",16,"spillover","tt","spillover tt",1,0,533,533,"Ambiguous","Consistent"
"26927","Native","Native 2",1,"spillover","tt","spillover tt",2,0,892,892,"Unambiguous","Consistent"
"26930","Native","Native 2",13,"spillover","tt","spillover tt",2,0,397,397,"Unambiguous","Consistent"
"26931","Native","Native 2",10,"spillover","tt","spillover tt",3,0,1098,1098,"Ambiguous","Inconsistent"
"26936","Native","Native 2",7,"spillover","tt","spillover tt",4,0,1719,1719,"Unambiguous","Inconsistent"
"26939","Native","Native 2",24,"spillover","tt","spillover tt",1,0,588,588,"Ambiguous","Consistent"
"26942","Native","Native 2",23,"spillover","tt","spillover tt",4,0,515,515,"Unambiguous","Inconsistent"
"26943","Native","Native 2",4,"spillover","tt","spillover tt",1,0,650,650,"Ambiguous","Consistent"
"26946","Native","Native 2",19,"spillover","tt","spillover tt",4,0,1310,1310,"Unambiguous","Inconsistent"
"26947","Native","Native 2",22,"spillover","tt","spillover tt",3,0,399,399,"Ambiguous","Inconsistent"
"26950","Native","Native 2",8,"spillover","tt","spillover tt",1,0,218,218,"Ambiguous","Consistent"
"26951","Native","Native 2",3,"spillover","tt","spillover tt",4,0,702,702,"Unambiguous","Inconsistent"
"26952","Native","Native 2",17,"spillover","tt","spillover tt",2,0,590,590,"Unambiguous","Consistent"
